SER,Distance,Speed,TIME
52,4.894,15.53229764857055,13
52,3.832,14.795881106087508,14
52,3.832,15.230213960113105,15
52,4.894,15.733099978065532,16
52,4.894,16.89988323898199,17
52,3.832,14.954672366198215,18
52,4.894,17.016977436976962,19
52,3.832,16.304205778405997,20
52,3.832,17.122976150044995,21
52,4.894,17.32811402336371,22
52,3.969,18.300901570762374,23
53,0.124,10.145454545454545,0
53,0.124,10.145454545454545,1
53,0.124,10.145454545454545,2
53,0.124,10.010181818181819,3
53,0.124,9.71064935064935,4
53,0.124,9.700296846011131,5
53,0.124,9.739636363636363,6
53,0.124,9.29516883116883,7
53,0.124,9.213729128014844,8
53,0.124,9.275844155844156,9
53,0.124,9.369016697588126,10
53,0.124,9.275844155844156,11
53,0.124,9.42077922077922,12
53,0.124,9.275844155844156,13
53,0.124,9.369016697588126,14
53,0.124,9.275844155844156,15
53,0.124,9.275844155844156,16
53,0.124,9.369016697588126,17
53,0.124,9.42077922077922,18
53,0.124,9.55253837072019,19
53,0.124,9.601948051948053,20
53,0.124,9.55253837072019,21
53,0.124,9.964285714285714,22
53,0.124,10.145454545454545,23
54,0.074,57.90347107438015,0
54,0.074,77.66636363636364,1
54,0.074,80.26153846153845,2
54,0.074,74.592,3
54,0.074,70.40571428571427,4
54,0.074,82.1564749536178,5
54,0.074,80.96368831168829,6
54,0.074,48.71314285714284,7
54,0.074,36.69795918367347,8
54,0.074,30.97684848484848,9
54,0.074,35.28935064935063,10
54,0.074,26.85290709290708,11
54,0.074,26.07490909090908,12
54,0.074,30.837818181818168,13
54,0.074,47.78285714285713,14
54,0.074,31.680969696969683,15
54,0.074,48.16727272727273,16
54,0.074,39.123896103896094,17
54,0.074,49.555530469530474,18
